kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 2603 : 1000 137984 0 0 0 63 32 0 0 
_1.ptx 2602 : 1000 11320 0 0 0 0 0 0 0 
_1.ptx 2601 : 1000 10104 0 0 0 0 0 0 0 
_1.ptx 2599 : 1000 7128 0 0 0 0 0 0 0 
_1.ptx 2598 : 1000 3768 0 0 0 0 0 0 0 
_1.ptx 2596 : 1024 168 0 0 0 0 0 0 1 
_1.ptx 2595 : 1024 8384 0 0 0 0 0 0 0 
_1.ptx 2593 : 1024 4032 0 0 0 0 0 0 0 
_1.ptx 2592 : 1024 6272 0 0 0 0 0 0 0 
_1.ptx 2590 : 1024 70336 0 64 32 0 0 0 0 
_1.ptx 2588 : 1024 6208 0 0 0 0 0 0 0 
_1.ptx 2587 : 1024 11264 0 0 0 0 0 0 0 
_1.ptx 2586 : 1024 6176 0 0 0 0 0 0 0 
_1.ptx 2585 : 1024 180032 0 0 0 0 0 0 0 
_1.ptx 2584 : 1024 6240 0 0 0 0 0 0 0 
_1.ptx 2580 : 1000 23496 0 0 0 63 32 0 0 
_1.ptx 2579 : 1000 15224 0 0 0 0 0 0 0 
_1.ptx 2577 : 1000 11224 0 0 0 0 0 0 0 
_1.ptx 2576 : 1000 178032 0 0 0 0 0 0 0 
_1.ptx 2574 : 1000 8120 0 0 0 0 0 0 0 
_1.ptx 2573 : 1000 67416 0 0 0 0 0 0 0 
_1.ptx 2570 : 1000 15320 0 0 0 0 0 0 0 
_1.ptx 2568 : 1000 8096 0 0 0 0 0 0 0 
_1.ptx 2566 : 1000 6384 0 0 0 0 0 0 0 
_1.ptx 2543 : 1000 6192 0 0 0 0 0 0 0 
_1.ptx 2542 : 1000 7480 0 0 0 0 0 0 0 
_1.ptx 1184 : 1000 9160 0 0 0 0 0 0 0 
_1.ptx 2007 : 454 3332 0 0 0 0 0 0 0 
_1.ptx 2416 : 69000 509312 0 0 0 0 0 0 0 
_1.ptx 1183 : 1000 10096 0 0 0 0 0 0 0 
_1.ptx 2006 : 454 4675 0 0 0 0 0 0 0 
_1.ptx 1597 : 1000 0 0 0 0 0 0 0 0 
_1.ptx 1181 : 1000 7256 0 0 0 0 0 0 0 
_1.ptx 2004 : 454 3248 0 0 0 0 0 0 0 
_1.ptx 2003 : 454 3632 0 0 0 0 0 0 0 
_1.ptx 2001 : 1000 4189 0 0 0 0 0 0 6 
_1.ptx 1592 : 1000 6224 0 0 0 0 0 0 0 
_1.ptx 1176 : 500012 4089184 0 0 0 0 0 0 0 
_1.ptx 1999 : 1000 15352 0 0 0 0 0 0 0 
_1.ptx 1174 : 500012 2866390 0 0 0 32217 16856 0 0 
